"","Date","Count"
"499",2017-01-24,262
"405",2017-01-25,297
"526",2017-01-26,273
"508",2017-01-27,288
"407",2017-01-28,288
"496",2017-01-29,226
"7",2017-01-30,260
"486",2017-01-31,224
"139",2017-02-01,272
"317",2017-02-02,256
"441",2017-02-03,261
"95",2017-02-04,249
"458",2017-02-05,212
"212",2017-02-06,212
"174",2017-02-07,251
"258",2017-02-08,312
"483",2017-02-09,220
"19",2017-02-10,249
"505",2017-02-11,233
"166",2017-02-12,225
"400",2017-02-13,257
"321",2017-02-14,303
"459",2017-02-15,315
"387",2017-02-16,291
"262",2017-02-17,296
"502",2017-02-18,288
"491",2017-02-19,224
"434",2017-02-20,265
"158",2017-02-21,257
"264",2017-02-22,255
"83",2017-02-23,276
"267",2017-02-24,353
"495",2017-02-25,290
"476",2017-02-26,242
"442",2017-02-27,278
"360",2017-02-28,266
"138",2017-03-01,307
"346",2017-03-02,272
"350",2017-03-03,269
"411",2017-03-04,208
"148",2017-03-05,207
"316",2017-03-06,251
"325",2017-03-07,265
"408",2017-03-08,278
"145",2017-03-09,276
"144",2017-03-10,275
"493",2017-03-11,252
"368",2017-03-12,216
"452",2017-03-13,272
"469",2017-03-14,213
"396",2017-03-15,229
"488",2017-03-16,290
"233",2017-03-17,312
"342",2017-03-18,267
"50",2017-03-19,229
"134",2017-03-20,319
"440",2017-03-21,274
"16",2017-03-22,257
"17",2017-03-23,256
"70",2017-03-24,283
"460",2017-03-25,246
"462",2017-03-26,234
"261",2017-03-27,303
"280",2017-03-28,232
"312",2017-03-29,264
"184",2017-03-30,301
"247",2017-03-31,322
"88",2017-04-01,296
"428",2017-04-02,276
"395",2017-04-03,274
"189",2017-04-04,254
"454",2017-04-05,256
"431",2017-04-06,253
"201",2017-04-07,295
"390",2017-04-08,252
"468",2017-04-09,228
"421",2017-04-10,271
"389",2017-04-11,278
"356",2017-04-12,286
"383",2017-04-13,313
"253",2017-04-14,274
"362",2017-04-15,250
"443",2017-04-16,249
"101",2017-04-17,259
"333",2017-04-18,265
"424",2017-04-19,285
"437",2017-04-20,244
"318",2017-04-21,276
"332",2017-04-22,240
"397",2017-04-23,273
"379",2017-04-24,293
"349",2017-04-25,249
"388",2017-04-26,260
"419",2017-04-27,274
"11",2017-04-28,300
"300",2017-04-29,302
"391",2017-04-30,244
"30",2017-05-01,337
"416",2017-05-02,315
"323",2017-05-03,271
"446",2017-05-04,317
"69",2017-05-05,309
"192",2017-05-06,263
"409",2017-05-07,248
"117",2017-05-08,272
"406",2017-05-09,287
"213",2017-05-10,252
"304",2017-05-11,255
"112",2017-05-12,298
"417",2017-05-13,288
"79",2017-05-14,228
"320",2017-05-15,247
"277",2017-05-16,359
"331",2017-05-17,328
"404",2017-05-18,295
"344",2017-05-19,334
"336",2017-05-20,291
"48",2017-05-21,250
"295",2017-05-22,244
"191",2017-05-23,271
"352",2017-05-24,318
"381",2017-05-25,262
"330",2017-05-26,293
"414",2017-05-27,242
"328",2017-05-28,235
"67",2017-05-29,223
"296",2017-05-30,288
"418",2017-05-31,295
"37",2017-06-01,332
"353",2017-06-02,325
"165",2017-06-03,292
"276",2017-06-04,236
"185",2017-06-05,284
"46",2017-06-06,274
"384",2017-06-07,288
"275",2017-06-08,325
"71",2017-06-09,257
"402",2017-06-10,303
"56",2017-06-11,295
"55",2017-06-12,286
"399",2017-06-13,344
"285",2017-06-14,316
"76",2017-06-15,346
"364",2017-06-16,333
"281",2017-06-17,258
"393",2017-06-18,242
"324",2017-06-19,284
"260",2017-06-20,288
"282",2017-06-21,306
"18",2017-06-22,290
"214",2017-06-23,307
"365",2017-06-24,293
"156",2017-06-25,327
"334",2017-06-26,321
"4",2017-06-27,304
"215",2017-06-28,336
"366",2017-06-29,311
"106",2017-06-30,282
"41",2017-07-01,331
"380",2017-07-02,246
"310",2017-07-03,301
"314",2017-07-04,272
"225",2017-07-05,325
"40",2017-07-06,300
"22",2017-07-07,275
"343",2017-07-08,295
"216",2017-07-09,241
"361",2017-07-10,329
"196",2017-07-11,291
"257",2017-07-12,288
"354",2017-07-13,272
"123",2017-07-14,313
"181",2017-07-15,271
"359",2017-07-16,275
"217",2017-07-17,311
"357",2017-07-18,312
"326",2017-07-19,300
"109",2017-07-20,274
"286",2017-07-21,310
"287",2017-07-22,329
"367",2017-07-23,221
"292",2017-07-24,251
"218",2017-07-25,305
"284",2017-07-26,314
